subject_id,condition,mean_accuracy,mean_rt,median_rt,mean_conf,n_trials,REC,LDI_BB,LDI_EM
sub100,AB,0.975,9.482880237499193,8.479430050007068,4.125,40,0.95,1.0,0.8999999999999999
sub101,AB,0.825,6.001849695001146,5.242409700003918,4.25,40,0.6499999999999999,0.30000000000000004,1.0
sub102,AB,0.85,4.728354602507897,4.439567749970593,4.1,40,0.7,0.6000000000000001,0.8
sub103,AB,0.85,4.3779745174979325,3.8732350999780465,3.5,40,0.7,0.7,0.7
sub104,AB,0.825,4.069636187500146,3.875715449976269,4.3,40,0.6499999999999999,0.7,0.6000000000000001
sub105,AB,0.75,5.844686734999414,5.560465299990028,3.575,40,0.5,0.3999999999999999,0.6000000000000001
sub106,AB,0.725,4.792938405003224,3.917378850019304,4.475,40,0.44999999999999996,0.3999999999999999,0.5
sub107,AB,0.95,6.237957584991818,4.089366700034589,3.85,40,0.8999999999999999,0.8,1.0
sub108,AB,0.75,6.047169695001503,4.4417497999966145,3.25,40,0.5,0.5,0.5
sub109,AB,0.8,6.270248930001981,5.52179954998428,3.6,40,0.6000000000000001,0.6000000000000001,0.6000000000000001
sub110,AB,0.825,4.345379349999712,3.5652537000132725,4.55,40,0.6499999999999999,0.8,0.5
sub111,AB,0.875,6.757949772498978,5.783678199979477,3.475,40,0.75,0.6000000000000001,0.8999999999999999
sub112,AB,0.775,5.857310919990414,5.800991950003663,3.675,40,0.55,0.5,0.6000000000000001
sub113,AB,0.875,4.106889227501233,3.773933750024298,3.5,40,0.75,0.6000000000000001,0.8999999999999999
sub114,AB,0.85,4.719904487501481,4.156724700005725,3.775,40,0.7,0.7,0.7
sub115,AB,0.9,5.341037039991352,4.487486799975159,4.325,40,0.8,0.7,0.8999999999999999
sub116,AB,0.9,5.1035706674927495,4.0672078499919735,4.25,40,0.8,0.7,0.8999999999999999
sub117,AB,0.7,3.328212985006394,2.9708367999992333,3.7,40,0.3999999999999999,0.3999999999999999,0.3999999999999999
sub118,AB,0.975,3.2507926425038023,2.8309186499973293,4.9,40,0.95,1.0,0.8999999999999999
sub119,AB,0.9,6.160890085,4.980032749999964,4.325,40,0.8,0.8,0.8
sub120,AB,0.8974358974358975,6.920391720512737,5.7117604999994,3.923076923076923,39,0.7948717948717949,0.5789473684210527,1.0
sub121,AB,0.9,5.847795534999955,4.352903349999906,4.175,40,0.8,0.7,0.8999999999999999
sub122,AB,0.825,4.76173969499987,3.739537900000869,4.0,40,0.6499999999999999,0.6000000000000001,0.7
sub123,AB,0.9,4.587591962499891,3.8685170499993546,4.775,40,0.8,0.8,0.8
sub124,AB,0.9,5.179515107500265,4.219916200000625,3.975,40,0.8,0.7,0.8999999999999999
sub125,AB,0.85,5.087380710000025,4.255003149999538,4.55,40,0.7,0.5,0.8999999999999999
sub126,AB,0.775,4.7428939800002805,4.060507500000313,3.875,40,0.55,0.5,0.6000000000000001
sub127,AB,0.925,5.334255719999874,4.860031500000332,4.825,40,0.8500000000000001,0.8,0.8999999999999999
sub128,AB,0.7,4.347458812499918,3.2706577499993728,3.725,40,0.3999999999999999,0.3999999999999999,0.3999999999999999
sub129,AB,0.825,5.178570600000239,4.563069949999772,4.1,40,0.6499999999999999,0.7,0.6000000000000001
sub130,AB,0.875,4.116744700000163,3.2565030500027206,4.425,40,0.75,0.7,0.8
sub131,AB,0.95,3.5560534525000547,3.0019621000028565,4.025,40,0.8999999999999999,0.8,1.0
sub132,AB,0.6,5.7874037849993325,4.300138650003646,4.275,40,0.19999999999999996,-0.10000000000000003,0.5
sub133,AB,0.9,5.371699702501791,4.790056250007183,3.975,40,0.8,0.8999999999999999,0.7
sub134,AB,0.825,3.7390396000002513,3.2211714000004577,4.4,40,0.6499999999999999,0.7,0.6000000000000001
sub135,AB,0.75,5.022419130000344,4.694497299999057,3.2,40,0.5,0.5,0.5
sub136,AB,0.9,6.154597777500021,5.263185149997298,3.7,40,0.8,0.8999999999999999,0.7
sub137,AB,0.875,6.952714304999972,6.528886800006148,4.225,40,0.75,0.8,0.7
sub138,AB,0.7,5.681566512498466,5.65446140000131,3.45,40,0.3999999999999999,0.19999999999999996,0.6000000000000001
sub139,AB,0.95,5.770405915001175,5.4115363500022795,4.025,40,0.8999999999999999,0.8,1.0
sub14,NB,0.825,6.433024412498344,4.580222999982652,4.5,40,0.6499999999999999,0.8,0.5
sub140,AB,0.8,5.556621632500173,4.977346500003478,4.475,40,0.6000000000000001,0.5,0.7
sub141,AB,0.825,4.8648440449997,3.9467969999968773,3.85,40,0.6499999999999999,0.6000000000000001,0.7
sub142,AB,0.575,3.8725640200009366,3.735607300004631,4.425,40,0.1499999999999999,0.30000000000000004,0.0
sub143,AB,0.775,3.473966840000867,3.3744819499988807,4.675,40,0.55,0.3999999999999999,0.7
sub144,AB,0.925,5.019161572500889,4.176157500005502,4.75,40,0.8500000000000001,0.8999999999999999,0.8
sub145,AB,0.775,6.186714199998096,5.1229476500011515,4.075,40,0.55,0.5,0.6000000000000001
