movie_id,target_type,condition,mean_acc,n
4.0,EM,AB,0.4936708860759494,79
13.0,BB,AB,0.55,80
13.0,BB,NB,0.5617977528089888,89
8.0,BB,NB,0.5681818181818182,88
19.0,BB,AB,0.6125,80
39.0,BB,AB,0.6153846153846154,78
4.0,EM,NB,0.6363636363636364,88
36.0,BB,AB,0.6375,80
7.0,EM,AB,0.65,80
16.0,EM,AB,0.65,80
19.0,BB,NB,0.6931818181818182,88
16.0,EM,NB,0.7045454545454546,88
38.0,EM,AB,0.725,80
8.0,BB,AB,0.7341772151898734,79
17.0,BB,AB,0.7375,80
25.0,BB,AB,0.75,80
40.0,EM,AB,0.7625,80
7.0,EM,NB,0.7640449438202247,89
9.0,EM,AB,0.7875,80
5.0,EM,NB,0.797752808988764,89
36.0,BB,NB,0.8068181818181818,88
15.0,BB,AB,0.8125,80
34.0,BB,AB,0.8125,80
1.0,EM,NB,0.8202247191011236,89
5.0,EM,AB,0.825,80
26.0,EM,NB,0.8295454545454546,88
25.0,BB,NB,0.8314606741573034,89
26.0,EM,AB,0.8375,80
2.0,BB,AB,0.8375,80
39.0,BB,NB,0.8426966292134831,89
3.0,BB,NB,0.8426966292134831,89
29.0,BB,AB,0.85,80
38.0,EM,NB,0.875,88
10.0,BB,AB,0.875,80
20.0,EM,AB,0.875,80
24.0,BB,NB,0.875,88
17.0,BB,NB,0.8764044943820225,89
34.0,BB,NB,0.8764044943820225,89
9.0,EM,NB,0.8876404494382022,89
15.0,BB,NB,0.898876404494382,89
12.0,EM,NB,0.898876404494382,89
18.0,EM,NB,0.9090909090909091,88
23.0,EM,NB,0.9101123595505618,89
29.0,BB,NB,0.9101123595505618,89
33.0,BB,NB,0.9101123595505618,89
12.0,EM,AB,0.9125,80
22.0,EM,NB,0.9213483146067416,89
14.0,BB,NB,0.9213483146067416,89
6.0,BB,AB,0.925,80
21.0,BB,AB,0.925,80
27.0,BB,AB,0.925,80
18.0,EM,AB,0.925,80
10.0,BB,NB,0.9325842696629213,89
21.0,BB,NB,0.9325842696629213,89
20.0,EM,NB,0.9325842696629213,89
33.0,BB,AB,0.9375,80
30.0,EM,AB,0.9375,80
23.0,EM,AB,0.9375,80
40.0,EM,NB,0.9438202247191011,89
1.0,EM,AB,0.95,80
32.0,EM,AB,0.95,80
30.0,EM,NB,0.9550561797752809,89
31.0,EM,NB,0.9550561797752809,89
22.0,EM,AB,0.9625,80
28.0,EM,AB,0.9625,80
24.0,BB,AB,0.9625,80
35.0,EM,NB,0.9659090909090909,88
2.0,BB,NB,0.9662921348314607,89
3.0,BB,AB,0.975,80
35.0,EM,AB,0.975,80
27.0,BB,NB,0.9775280898876404,89
14.0,BB,AB,0.9875,80
37.0,BB,AB,0.9875,80
11.0,EM,AB,0.9875,80
11.0,EM,NB,0.9887640449438202,89
32.0,EM,NB,0.9887640449438202,89
37.0,BB,NB,0.9887640449438202,89
31.0,EM,AB,1.0,80
6.0,BB,NB,1.0,89
28.0,EM,NB,1.0,89
